idx,source_dataset,image_id,question,gt,prediction,mean_logprob,latency_ms,tokens
0,vqav2,262148000,Where is he looking?,"['down', 'down', 'at table', 'skateboard', 'down', 'table', 'down', 'down', 'down', 'down']",The person in the picture is looking down at the skateboard.,-0.5084743758785547,1872.5,13
1,vqav2,262148001,What are the people in the background doing?,"['spectating', 'watching', 'watching', 'watching', 'watching', 'watching', 'watching', 'watching', 'watching', 'watching']",The people in the background appear to be watching the skateboarder perform a trick. They are standing and observing the action.,-0.2749897060190733,910.4,25
2,vqav2,262148002,What is he on top of?,"['table', 'table', 'table', 'picnic table', 'picnic table', 'picnic table', 'picnic table', 'picnic table', 'skateboard', 'picnic table']",He is on top of a picnic table.,-0.15493287779299864,415.0,10
3,vqav2,393225000,What website copyrighted the picture?,"['foodiebakercom', 'foodiebakercom', 'foodiebaker', 'foodiebakercom', 'foodiebakercom', 'http://foodiebakercom', 'foodiebakercom', 'foodiebakercom', 'foodiebakercom', 'foodiebaker']",The website that copyrighted the picture is HTTP://FOODIEBAKER.COM.,-0.122352519974811,636.6,17
4,vqav2,393225001,Is this a creamy soup?,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']","No, this is not a creamy soup. It appears to be a clear broth-based soup with visible ingredients such as noodles, shrimp, and carrots.",-0.2170697616622535,1056.2,31
5,vqav2,393225002,Is this rice noodle soup?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","Yes, the soup in the image appears to be a type of rice noodle soup. It contains rice noodles, shrimp, and other ingredients such as carrots and possibly some meat. The soup is served in a bowl with chopsticks and a small spoon.",-0.37085213263314204,1709.8,52
6,vqav2,393225003,What is to the right of the soup?,"['chopsticks', 'chopsticks', 'chopsticks', 'chopsticks', 'chopsticks', 'shrimp', 'chopsticks', 'chopsticks', 'chopsticks', 'chopsticks spoon']","To the right of the soup, there is a pair of chopsticks and a small white spoon with floral designs.",-0.21296976441436044,822.3,24
7,vqav2,393226000,What is the man doing in the street?,"['crossing it', 'walking', 'walking', 'crossing', 'crossing road', 'walking', 'crossing', 'walking', 'crossing', 'walking']",The man is crossing the street.,-0.20632962496529217,352.6,8
8,vqav2,393226001,How many photo's can you see?,"['1', '1', '4', '4', '4', '1', '1', '4', '1', '1']",There is one photo in the image.,-0.28356105896333855,383.6,9
9,vqav2,393226002,What does the truck on the left sell?,"['ice cream', 'ice cream', 'ice cream', 'ice cream', 'ice cream', 'ice cream', 'ice cream', 'ice cream', 'ice cream', 'ice cream']","The truck on the left is an ice cream truck. It sells ice cream treats such as sundaes, shakes, and cones.",-0.13678661985401316,969.6,28
10,vqav2,240301000,Why is there a gap between the roof and wall?,"['ventilation', 'provide air', 'to air out barn from stinky bovines', 'keep cow safe', 'airflow', 'to let sunlight in', 'yes', 'yes', 'for air', 'air']","The gap between the roof and wall in the image is likely there to allow for ventilation and to prevent condensation from building up inside the shelter. This is important for the comfort and health of the animals, as it helps to maintain a more stable and dry environment.",-0.3665359407874544,1787.4,54
11,vqav2,240301001,Is it daylight in this picture?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","Yes, it appears to be daylight in the picture. The lighting suggests that the sun is shining, and the shadows are not very pronounced, which is typical of daytime conditions.",-0.41313658831124184,1229.2,36
12,vqav2,240301002,Why is the cow laying down?,"['tired', 'tired', '4', 'resting', 'tired', 'tired', 'resting', 'tired', ""it's tired"", 'tired']","The cow is likely laying down because it is resting or sleeping. Cows often lay down to rest, especially in a comfortable and shaded area like the one in the image. The presence of hay on the ground also suggests that the cow has access to food, which is another reason why it might be resting.",-0.3610245854891557,2065.4,63
13,vqav2,131089000,What color is the grass in this picture?,"['gray', 'green', 'green', 'black, white', 'green', 'gray', 'green', 'brown', 'gray', 'green']","The grass in the picture appears to be a light color, likely white or light gray, due to the black and white nature of the image.",-0.33894915696685074,1017.4,30
14,vqav2,131089001,Did the batter hit the ball?,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']",It is ambiguous whether the batter hit the ball.,-0.27145738815835846,426.4,11
15,vqav2,131089002,How many are playing ball?,"['1', '1', '1', '1', '1', '1', '1', '1', '1', 'boy']",It is ambiguous how many are playing ball. It can be 1 or 2.,-0.3325966075752053,676.5,19
16,vqav2,131089003,Is there a chain link fence in the image?,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']","No, there is no chain link fence in the image. The fence in the background is a wooden picket fence.",-0.20661992799956352,862.5,25
17,vqav2,131089004,Is the boy playing baseball?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","Yes, the boy appears to be playing baseball. He is holding a baseball bat and seems to be in the motion of swinging it, which is a common action in the sport of baseball.",-0.19169151174563198,1292.4,39
18,vqav2,262162000,Is that a folding chair?,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']","No, the chair in the picture is not a folding chair. It appears to be a standard office chair with armrests and wheels, typically used for sitting at a desk.",-0.24489065398598245,1245.0,37
19,vqav2,262162001,How many beds?,"['1', '1', '1', '1', '1', '1', '10', '1', '1', '1']",There is one bed in the picture.,-0.02788300490081181,380.0,9
